ProductURL,ProductName,ModelCodes,Sport,Category,Subcategory,ImageURL,ImagePath,Manufacturer,ManufacturerPrefix,ManufacturerConfidence,ManufacturerMethod
https://tomkosports.com/shop/tennis/tennis-net-accessories/championship-tennis-net/,Tomko Championship Tennis Net,TN-TN90HT ; TN-TN90HTS,tennis,tennis-net-accessories,championship-tennis-net,https://tomkosports.com/wp-content/uploads/2013/06/WhatsApp-Image-2020-02-12-at-11.08.00-AM-1-e1581535114884-440x330.jpeg,images/product_1.png,Unknown,TN90HT;TN90HTS,low,none
https://tomkosports.com/shop/tennis/tennis-net-accessories/premier-sq-portable-tennis-systems/,Premier Deluxe Portable Net System,TN-PPS42SQ,tennis,tennis-net-accessories,premier-sq-portable-tennis-systems,https://tomkosports.com/wp-content/uploads/2020/01/Portable-Net-System-440x445.jpg,images/product_2.png,Unknown,PPS42SQ,low,none
https://tomkosports.com/shop/tennis/tennis-net-accessories/classic-sq-portable-tennis-systems/,Classic SQ Portable Net System,TN-PPS42SQCL,tennis,tennis-net-accessories,classic-sq-portable-tennis-systems,https://tomkosports.com/wp-content/uploads/2020/01/rs_1244205_a_x-440x440.jpg,images/product_3.png,Unknown,PPS42SQCL,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/tennis-posts/premier-tennis-posts-rd-sq/,Premier Tennis Posts,TN-PREM-RD ; TN-PREM-SQ ; TN-PREMXS-RD,tennis,nets-and-posts,tennis-posts,https://tomkosports.com/wp-content/uploads/2019/10/Premier-Posts-440x439.jpg,images/product_4.png,Premier,PREM;PREM;PREMXS,high,prefix
https://tomkosports.com/shop/tennis/nets-and-posts/tennis-posts/heavy-duty-dtp37-tennis-posts/,DTP37 Tennis Posts,TN-DTP37,tennis,nets-and-posts,tennis-posts,https://tomkosports.com/wp-content/uploads/2019/10/DTP37-2-440x413.jpg,images/product_5.png,Unknown,DTP37,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/tennis-posts/premier-sq-surface-mount/,Premier SQ Surface Mount Tennis Posts,TN-PREMSF,tennis,nets-and-posts,tennis-posts,https://tomkosports.com/wp-content/uploads/2021/03/63060-600x600-1-440x440.jpg,images/product_6.png,Premier,PREMSF,medium,fuzzy
https://tomkosports.com/shop/tennis/nets-and-posts/tennis-posts/sidewinder-tennis-posts/,Sidewinder Tennis Posts,TN-SW2 ; TN-SW3,tennis,nets-and-posts,tennis-posts,https://tomkosports.com/wp-content/uploads/2021/04/Sidewinder-Posts-440x459.jpg,images/product_7.png,Unknown,SW2;SW3,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/tennis-posts/classic-tennis-posts/,Classic Tennis Posts,TN-CLASSIC ; TN-CLASSICSQ,tennis,nets-and-posts,tennis-posts,https://tomkosports.com/wp-content/uploads/2019/10/TN-CLASSIC-green-440x440.jpg,images/product_8.png,Unknown,CLASSIC;CLASSICSQ,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/replacement-parts-nets-and-posts/dtp37-cap-replacements/,Cap Replacements – All Tennis Posts,TN-CAPPUL ; TN-CAPSL ; TN-CAP2 ; TN-CAP3,tennis,nets-and-posts,replacement-parts-nets-and-posts,https://tomkosports.com/wp-content/uploads/2020/03/53434Z-440x440.jpg,images/product_9.png,Unknown,CAPPUL;CAPSL;CAP2;CAP3,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/replacement-parts-nets-and-posts/internal-winder-mechanism-premier-posts/,Internal Winder Mechanism – Premier Posts,TN-GEAR,tennis,nets-and-posts,replacement-parts-nets-and-posts,https://tomkosports.com/wp-content/uploads/2021/04/Premier-Gear-440x439.jpg,images/product_10.png,Unknown,GEAR,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/replacement-parts-nets-and-posts/internal-winder-mechanism-classic-posts/,Internal Winder Mechanism – Classic Posts,TN-GEARCL ; TN-HANDLECL,tennis,nets-and-posts,replacement-parts-nets-and-posts,https://tomkosports.com/wp-content/uploads/2021/03/Classic-Internal-Winder-Handle-2-440x438.jpg,images/product_11.png,Unknown,GEARCL;HANDLECL,low,none
https://tomkosports.com/shop/tennis/nets-and-posts/replacement-parts-nets-and-posts/external-post-reel-with-handle/,External Post Reel with Handle,TN-REEL1 ; TN-EWH,tennis,nets-and-posts,replacement-parts-nets-and-posts,https://tomkosports.com/wp-content/uploads/2020/03/Reel-and-Handle-440x418.jpg,images/product_12.png,Unknown,REEL1;EWH,low,none
