Product Name,Manufacturer,Model Codes,Sport,Category,Subcategory,Canonical ID,Image Path,Image URL
Tomko Championship Tennis Net,TOMKO CHAMPIONSHIP,TN-TN90HT ; TN-TN90HTS,tennis,tennis-net-accessories,championship-tennis-net,TOMKO CHAMPIONSHIP TN-TN90HT,images/product_1.jpg,https://tomkosports.com/wp-content/uploads/2013/06/WhatsApp-Image-2020-02-12-at-11.08.00-AM-1-e1581535114884-440x330.jpeg
Premier Deluxe Portable Net System,PREMIER,TN-PPS42SQ,tennis,tennis-net-accessories,premier-sq-portable-tennis-systems,PREMIER TN-PPS42SQ,images/product_2.jpg,https://tomkosports.com/wp-content/uploads/2020/01/Portable-Net-System-440x445.jpg
Classic SQ Portable Net System,CLASSIC SQ,TN-PPS42SQCL,tennis,tennis-net-accessories,classic-sq-portable-tennis-systems,CLASSIC SQ TN-PPS42SQCL,images/product_3.jpg,https://tomkosports.com/wp-content/uploads/2020/01/rs_1244205_a_x-440x440.jpg
Premier Tennis Posts,PREMIER,TN-PREM-RD ; TN-PREM-SQ ; TN-PREMXS-RD,tennis,nets-and-posts,tennis-posts,PREMIER TN-PREM-RD,images/product_4.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Premier-Posts-440x439.jpg
DTP37 Tennis Posts,DTP37 TENNIS,TN-DTP37,tennis,nets-and-posts,tennis-posts,DTP37 TENNIS TN-DTP37,images/product_5.jpg,https://tomkosports.com/wp-content/uploads/2019/10/DTP37-2-440x413.jpg
Premier SQ Surface Mount Tennis Posts,PREMIER,TN-PREMSF,tennis,nets-and-posts,tennis-posts,PREMIER TN-PREMSF,images/product_6.jpg,https://tomkosports.com/wp-content/uploads/2021/03/63060-600x600-1-440x440.jpg
Sidewinder Tennis Posts,SIDEWINDER TENNIS,TN-SW2 ; TN-SW3,tennis,nets-and-posts,tennis-posts,SIDEWINDER TENNIS TN-SW2,images/product_7.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Sidewinder-Posts-440x459.jpg
Classic Tennis Posts,CLASSIC TENNIS,TN-CLASSIC ; TN-CLASSICSQ,tennis,nets-and-posts,tennis-posts,CLASSIC TENNIS TN-CLASSIC,images/product_8.jpg,https://tomkosports.com/wp-content/uploads/2019/10/TN-CLASSIC-green-440x440.jpg
Cap Replacements – All Tennis Posts,CAP REPLACEMENTS,TN-CAPPUL ; TN-CAPSL ; TN-CAP2 ; TN-CAP3,tennis,nets-and-posts,replacement-parts-nets-and-posts,CAP REPLACEMENTS TN-CAPPUL,images/product_9.jpg,https://tomkosports.com/wp-content/uploads/2020/03/53434Z-440x440.jpg
Internal Winder Mechanism – Premier Posts,PREMIER,TN-GEAR,tennis,nets-and-posts,replacement-parts-nets-and-posts,PREMIER TN-GEAR,images/product_10.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Premier-Gear-440x439.jpg
Internal Winder Mechanism – Classic Posts,INTERNAL WINDER,TN-GEARCL ; TN-HANDLECL,tennis,nets-and-posts,replacement-parts-nets-and-posts,INTERNAL WINDER TN-GEARCL,images/product_11.jpg,https://tomkosports.com/wp-content/uploads/2021/03/Classic-Internal-Winder-Handle-2-440x438.jpg
External Post Reel with Handle,EXTERNAL POST,TN-REEL1 ; TN-EWH,tennis,nets-and-posts,replacement-parts-nets-and-posts,EXTERNAL POST TN-REEL1,images/product_12.jpg,https://tomkosports.com/wp-content/uploads/2020/03/Reel-and-Handle-440x418.jpg
Replacement Handle,REPLACEMENT HANDLE,TN-HANDLE,tennis,nets-and-posts,replacement-parts-nets-and-posts,REPLACEMENT HANDLE TN-HANDLE,images/product_13.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Handle-440x426.jpg
DTP37 Take-Up & Cover Assembly,DTP37 TAKE-UP,TN-DTPCTUCA,tennis,nets-and-posts,replacement-parts-nets-and-posts,DTP37 TAKE-UP TN-DTPCTUCA,images/product_14.jpg,https://tomkosports.com/wp-content/uploads/2021/04/DTP37-Gear-Take-Up-Assesmbly-440x403.jpg
Tomko Championship Pickleball Net,TOMKO CHAMPIONSHIP,,pickleball,nets-and-posts-pickleball,tomko-championship-pickleball-net,TOMKO CHAMPIONSHIP,images/product_15.jpg,https://tomkosports.com/wp-content/uploads/2019/10/WhatsApp-Image-2020-08-21-at-8.29.08-AM-1-440x330.jpeg
Premier Pickleball Posts,PREMIER,TP-PREMPB,pickleball,nets-and-posts-pickleball,premier-pickleball-posts,PREMIER TP-PREMPB,images/product_16.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Premier-Posts-Pickleball-440x459.jpg
Classic Pickleball Posts,CLASSIC PICKLEBALL,TP-CLASSICPB,pickleball,nets-and-posts-pickleball,classic-pickleball-posts,CLASSIC PICKLEBALL TP-CLASSICPB,images/product_17.jpg,https://tomkosports.com/wp-content/uploads/2019/10/TN-CLASSIC-green-440x440.jpg
Premier SQ Surface Mount Pickleball Posts,PREMIER,TP-PREMPBSF,pickleball,nets-and-posts-pickleball,premier-pickleball-square-surface-mount-posts,PREMIER TP-PREMPBSF,images/product_18.jpg,https://tomkosports.com/wp-content/uploads/2020/06/Surface-Mount-Posts-Pickleball-2-440x447.jpg
Outdoor Tetherball System,OUTDOOR TETHERBALL,SG-TBS,tetherball,outdoor-tetherball-system,,OUTDOOR TETHERBALL SG-TBS,images/product_19.jpg,https://tomkosports.com/wp-content/uploads/2023/04/Tetherball-Pole-440x406.jpg
“Soft Touch” Yellow Tetherball w/ Rope,“SOFT TOUCH”,SG-TBS,tetherball,soft-touch-yellow-tetherball-w-rope,,“SOFT TOUCH” SG-TBS,images/product_20.jpg,https://tomkosports.com/wp-content/uploads/2023/04/Tetherball-440x406.jpg
Tomko Heavy Duty Ground Sleeves,TOMKO HEAVY,TN-GS24 ; TN-GS24SQA ; TN-GS24S ; TN-ALGS,tennis,nets-and-posts,tennis-posts,TOMKO HEAVY TN-GS24,images/product_21.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Ground-sleeves-1-440x471.jpg
In-Ground Center Anchor,IN-GROUND CENTER,TN-ANCHOR,tennis,nets-and-posts,tennis-posts,IN-GROUND CENTER TN-ANCHOR,images/product_22.jpg,https://tomkosports.com/wp-content/uploads/2019/10/TN-ANCHOR-440x330.jpg
Tomko Quickset Center Strap,TOMKO QUICKSET,TN-QKSET,tennis,nets-and-posts,tennis-posts,TOMKO QUICKSET TN-QKSET,images/product_23.jpg,https://tomkosports.com/wp-content/uploads/2019/10/WhatsApp-Image-2019-10-22-at-12.10.02-PM-1-440x587.jpeg
T-Plugs for Ground Sleeves,T-PLUGS FOR,TN-GS24SI,tennis,nets-and-posts,replacement-parts-nets-and-posts,T-PLUGS FOR TN-GS24SI,images/product_24.jpg,https://tomkosports.com/wp-content/uploads/2020/09/T-Plugs-440x439.jpg
Premier Portable Pickleball System,PREMIER,,pickleball,portable-systems,premier-portable-system,PREMIER,images/product_25.jpg,https://tomkosports.com/wp-content/uploads/2019/12/Pickleball-Premier-440x439.jpg
Selkirk Semi-Permanent Pro Pickleball Net,SELKIRK SEMI-PERMANENT,,pickleball,portable-systems,selkirk-semi-permanent-pro-pickleball-net,SELKIRK SEMI-PERMANENT,images/product_26.png,https://tomkosports.com/wp-content/uploads/2025/05/pickleball-net-1-440x294.webp
Pickle-MAX™ Portable System,PICKLE-MAX™ PORTABLE,,pickleball,portable-systems,pickle-max-portable-system,PICKLE-MAX™ PORTABLE,images/product_27.jpg,https://tomkosports.com/wp-content/uploads/2025/02/picklemax-5-440x440.jpg
PickleNet Deluxe Portable System,PICKLENET DELUXE,,pickleball,portable-systems,picklenet-deluxe-portable-system,PICKLENET DELUXE,images/product_28.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Picklenet-Deluxe-1-440x410.jpg
Swiftnet 2.1 Portable System,SWIFTNET 2.1,TP-TAPSN,pickleball,portable-systems,swiftnet-2-1-portable-pickleball-net,SWIFTNET 2.1 TP-TAPSN,images/product_29.jpg,https://tomkosports.com/wp-content/uploads/2021/02/Swiftnet-Pickleball-Net-1-440x436.jpg
PickleNet Portable System,PICKLENET PORTABLE,,pickleball,portable-systems,oncourt-offcourt-picklenet-portable-system,PICKLENET PORTABLE,images/product_30.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Screenshot-7-440x410.png
DELUXE PICKLEBALL LINE SET,DELUXE PICKLEBALL,,pickleball,portable-systems,deluxe-pickleball-line-set,DELUXE PICKLEBALL,images/product_31.jpg,https://tomkosports.com/wp-content/uploads/2024/06/deluxe-line-set-440x418.jpg
PickleNet Deluxe Replacement Bag,PICKLENET DELUXE,,pickleball,portable-systems,picklenet-deluxe-replacement-bag,PICKLENET DELUXE,images/product_32.jpg,https://tomkosports.com/wp-content/uploads/2021/04/Picklenet-Deluxe-Bag-1-440x440.jpg
PickleNet Replacement Bag,PICKLENET REPLACEMENT,,pickleball,portable-systems,picklenet-replacement-bag,PICKLENET REPLACEMENT,images/product_33.jpg,https://tomkosports.com/wp-content/uploads/2019/10/Picklenet-Bag-440x439.jpg
